id,atlas_id,name, ,st_level,parent_structure_id,depth,graph_order,structure_id_path,sphinx_id,acronym_path,color_hex_triplet,svg_hex_triplet
997,-1.0,root,root,0,,0,0,/997/,1,root,FFFFFF,0
8,0.0,Basic cell groups and regions,grey,1,997.0,1,1,/997/8/,2,root/grey,BFDAE3,BFDAE3
1009,691.0,fiber tracts,fiber tracts,1,997.0,1,1101,/997/1009/,1102,root/fiber tracts,CCCCCC,CAC7CB
73,716.0,ventricular systems,VS,1,997.0,1,1292,/997/73/,1293,root/VS,AAAAAA,AAA8AA
1024,693.0,grooves,grv,1,997.0,1,1304,/997/1024/,1305,root/grv,AAAAAA,AAA8A8
304325711,,retina,retina,1,997.0,1,1326,/997/304325711/,1327,root/retina,7F2E7E,7F2E7E
567,70.0,Cerebrum,CH,2,8.0,2,2,/997/8/567/,3,root/grey/CH,B0F0FF,B0F0FF
343,42.0,Brain stem,BS,2,8.0,2,639,/997/8/343/,640,root/grey/BS,FF7080,FF7080
512,63.0,Cerebellum,CB,2,8.0,2,1014,/997/8/512/,1015,root/grey/CB,F0F080,F0F080
967,686.0,cranial nerves,cm,2,1009.0,2,1102,/997/1009/967/,1103,root/fiber tracts/cm,CCCCCC,C8CAC9
960,685.0,cerebellum related fiber tracts,cbf,2,1009.0,2,1171,/997/1009/960/,1172,root/fiber tracts/cbf,CCCCCC,C9CAC8
484682512,,supra-callosal cerebral white matter,scwm,2,1009.0,2,1189,/997/1009/484682512/,1190,root/fiber tracts/scwm,CCCCCC,C9C9CA
983,688.0,lateral forebrain bundle system,lfbs,2,1009.0,2,1190,/997/1009/983/,1191,root/fiber tracts/lfbs,CCCCCC,C7CCCA
1000,690.0,extrapyramidal fiber systems,eps,2,1009.0,2,1218,/997/1009/1000/,1219,root/fiber tracts/eps,CCCCCC,CACBC7
991,689.0,medial forebrain bundle system,mfbs,2,1009.0,2,1238,/997/1009/991/,1239,root/fiber tracts/mfbs,CCCCCC,CBCAC7
81,717.0,lateral ventricle,VL,8,73.0,2,1293,/997/73/81/,1294,root/VS/VL,AAAAAA,A8AAAA
124,722.0,interventricular foramen,IVF,8,73.0,2,1298,/997/73/124/,1299,root/VS/IVF,AAAAAA,A8AAA9
129,723.0,third ventricle,V3,8,73.0,2,1299,/997/73/129/,1300,root/VS/V3,AAAAAA,A8A9AA
